peakID,Log2FC,Pval,FDR,Mean,MeanDiff,Direction,score,replicateScoreQuantile,groupScoreQuantile,Reproducibility,GroupReplicate,distToGeneStart,nearestGene,peakType,distToTSS,nearestTSS,GC,idx,N,AR.halfsite.motif,ARE.motif,HNF4a.motif,AR_binding,Hnf4a_binding
chr1_119328844_119329344,2.10204978010337,4.24190700590699e-05,0.0105727734704009,0.0576034179832051,0.0457201684672119,UP,22.23097,0.701,0.682,7,PT-S3-f/mKO._.B4,93153,Inhbb,Distal,105,uc007ciq.1,0.5749,7485,0,FALSE,FALSE,FALSE,0,0
chr1_120060640_120061140,2.79746874495832,0.000282896973112313,0.0373742827500277,0.066366288004699,0.0585325191458269,UP,71.42344,0.784,0.772,7,PT-S3-f/mKO._.A3,12889,Tmem37,Intronic,12889,uc007cjd.1,0.525,7644,0,FALSE,FALSE,FALSE,0,0
chr1_120217571_120218071,1.44181546446187,2.58354866893969e-05,0.00733932016512966,0.0563206996393987,0.0368526286704802,UP,110.72965,0.843,0.836,7,PT-S3-f/mKO._.A3,53260,Steap3,Distal,47458,uc007cji.1,0.481,7712,0,FALSE,FALSE,FALSE,0,0
chr1_121745221_121745721,-1.68414208588566,9.71632842175635e-05,0.0187229332101044,0.0477807568346542,-0.110189329749649,DOWN,60.54441,0.882,0.846,3,PT-S3-mWT._.B5,177490,Ddx18,Distal,177490,uc007cjw.2,0.4551,7789,0,TRUE,FALSE,FALSE,0,0
chr1_128265699_128266199,-2.6117899371032,1.21775368011306e-05,0.00441483556065397,0.00789461539517302,-0.0505873689222354,DOWN,23.97182,0.742,0.659,3,PT-S3-mWT._.B5,21767,Ubxn4,Intronic,21767,uc007cll.1,0.3932,8063,0,FALSE,FALSE,FALSE,0,0
chr1_131724517_131725017,-2.19810197752398,0.000114949542123248,0.0208368627635554,0.0119442843064022,-0.050042584376005,DOWN,31.14633,0.787,0.721,3,PT-S3-mWT._.B5,19254,Slc26a9,Distal,19254,uc007cns.1,0.4411,8317,0,FALSE,FALSE,FALSE,0,0
chr1_13196684_13197184,-1.18259768983833,3.86305890873067e-06,0.00183915419643039,0.0228130442593504,-0.0315088726633803,DOWN,28.7067,0.773,0.702,3,PT-S3-mWT._.B5,69770,Prdm14,Intronic,69770,uc007aik.1,0.4291,370,0,TRUE,TRUE,FALSE,1,0
chr1_132075791_132076291,2.19917221182415,0.000174328455361562,0.0273267112625658,0.0760899486571558,0.0610848821072683,UP,25.74389,0.729,0.713,7,PT-S3-f/mKO._.B4,7978,Mfsd4a,Distal,7978,uc011wrr.1,0.5449,8404,0,TRUE,FALSE,TRUE,0,0
chr1_13216746_13217246,-3.67399820137738,1.18380593408798e-06,0.000750769085228281,0.00807922316611987,-0.118571053272089,DOWN,42.64989,0.835,0.784,3,PT-S3-mWT._.B5,89832,Prdm14,Intronic,89832,uc007aik.1,0.3932,374,0,TRUE,FALSE,FALSE,0,0
chr1_132352780_132353280,-1.75808062205146,0.000373106809060828,0.0428650170362813,0.00714267462510436,-0.021782222683018,DOWN,27.0649,0.62,0.598,6,PT-S2-f/mKO._.A3,36904,Nuak2,Distal,11006,uc007coq.1,0.4671,8526,0,FALSE,FALSE,FALSE,0,0
chr1_132833879_132834379,3.07603509419916,0.000164795051924361,0.0263591422006655,0.0550995700009198,0.0503285514033228,UP,69.92712,0.781,0.769,7,PT-S3-f/mKO._.A3,46225,Lrrn2,Distal,46225,uc007cpi.2,0.5289,8599,0,TRUE,FALSE,FALSE,0,0
chr1_133908578_133909078,2.05453925243942,8.20661871388958e-05,0.0167614488190421,0.0379466944117551,0.0303305073048563,UP,18.25855,0.573,0.543,6,PT-S2-f/mKO._.A4,828,Optc,Promoter,828,uc007cra.3,0.6028,8885,0,TRUE,FALSE,FALSE,0,0
chr1_134398161_134398661,-1.4491104502313,0.000192650624879617,0.0289638212311025,0.0378757820377276,-0.06900091216509,DOWN,29.37282,0.753,0.739,7,PT-S3-f/mKO._.B4,7578,Cyb5r1,Distal,7578,uc007cru.1,0.479,8987,0,FALSE,FALSE,FALSE,0,0
chr1_134714956_134715456,2.17020051877749,0.00019901301314568,0.0295428226101077,0.0528837957472161,0.0426897256657799,UP,153.45241,0.885,0.879,7,PT-S3-f/mKO._.A1,68524,Syt2,Intronic,5905,uc007csk.1,0.5549,9038,0,FALSE,FALSE,FALSE,0,0
chr1_135717599_135718099,3.18834581885773,0.00028701942539558,0.0375596365753477,0.0162313036166787,0.0162313036166787,UP,18.99664,0.558,0.522,5,PT-S3-f/mKO._.A1,11347,Csrp1,Distal,11347,uc007cto.1,0.4271,9179,0,TRUE,FALSE,FALSE,0,0
chr1_136788943_136789443,-1.52802139692395,1.03909761013643e-05,0.0038931082562704,0.023675561713829,-0.0483702039191409,DOWN,118.48003,0.939,0.922,4,PT-S2-mWT._.B5,92981,Platr22,Distal,294,uc007cuz.1,0.5309,9343,0,TRUE,FALSE,FALSE,1,1
chr1_138419097_138419597,-2.12030677843948,1.17563401187972e-07,0.000132986815089979,0.0112869745833323,-0.0444829824539569,DOWN,15.16801,0.65,0.539,3,PT-S3-mWT._.B5,145608,Atp6v1g3,Distal,145608,uc007cvm.1,0.3733,9394,0,TRUE,FALSE,FALSE,0,0
chr1_138427404_138427904,-2.82652628130319,1.74743599286105e-07,0.000181123665149027,0.0131870544972816,-0.0925444551247362,DOWN,40.11258,0.83,0.79,3,PT-S2-mWT._.B5,153915,Atp6v1g3,Distal,153915,uc007cvm.1,0.4072,9396,0,TRUE,FALSE,TRUE,1,1
chr1_139171961_139172461,-1.33088521930228,1.54241240416555e-05,0.00517704892655211,0.0542052160372392,-0.0851829278703558,DOWN,121.53761,0.91,0.882,3,PT-S3-mWT._.B1,194553,4930596I21Rik,Exonic,50455,uc011wtc.2,0.3493,9468,0,TRUE,FALSE,FALSE,0,0
chr1_152509440_152509940,-2.23612409610486,0.000128391315114843,0.02214731360025,0.0114503745051196,-0.0499183263705253,DOWN,17.91828,0.583,0.549,4,PT-S3-f/mKO._.A4,109822,Colgalt2,Exonic,109822,uc007czg.2,0.4212,9922,0,FALSE,FALSE,FALSE,0,0
chr1_154065885_154066385,2.09202317842085,0.000334736202005747,0.0407025382416166,0.0564126081718784,0.0447118415085095,UP,36.94098,0.792,0.78,7,PT-S3-f/mKO._.B4,135051,Zfp648,Distal,50017,uc007dar.1,0.499,10242,0,FALSE,FALSE,FALSE,0,0
chr1_154119587_154120087,0.88979270455371,1.43941638323176e-05,0.00495867352822598,0.141609312867482,0.066104564564761,UP,178.73865,0.887,0.884,8,PT-S1._.A1,81349,Zfp648,Distal,1885,uc007das.1,0.507,10255,0,FALSE,FALSE,FALSE,0,0
chr1_156520680_156521180,-1.49392708248349,2.1795166263808e-05,0.00654935003815946,0.0433445890629207,-0.0823705361800961,DOWN,74.03666,0.85,0.804,3,PT-S3-mWT._.B1,37856,Abl2,Distal,37856,uc007dcl.2,0.4631,10594,0,TRUE,FALSE,FALSE,0,0
chr1_160044385_160044885,1.09186111473215,0.000115525076420903,0.0209089724468627,0.103783236867661,0.0561544219024001,UP,43.52994,0.817,0.807,7,PT-S3-f/mKO._.B4,254,4930523C07Rik,Exonic,254,uc007deb.2,0.5968,10852,0,TRUE,FALSE,FALSE,0,0
chr1_16213208_16213708,-2.07451947874499,0.000377787065298171,0.0432338341536362,0.0166456508945194,-0.0598905950970825,DOWN,34.93915,0.732,0.644,3,PT-S3-mWT._.B1,107575,Rdh10,Distal,107575,uc007ajm.1,0.4551,582,0,FALSE,FALSE,FALSE,0,0
chr1_162180339_162180839,2.13986200641867,1.46463052475475e-07,0.000156640903140225,0.117500208176364,0.0923854327797652,UP,238.56458,0.931,0.925,7,PT-S3-f/mKO._.A1,37033,Dnm3os,Intronic,37033,uc007dgf.1,0.4172,10998,0,FALSE,FALSE,TRUE,0,0
chr1_164804815_164805315,-2.10107535056568,0.00035101584741428,0.0413155661362737,0.00645522919537176,-0.0278201606278148,DOWN,7.38692,0.374,0.305,2,PT-S3-f/mKO._.A4,8332,Dpt,Intronic,8332,uc007diq.1,0.4731,11297,0,FALSE,FALSE,FALSE,0,0
chr1_165506271_165506771,1.61305761216138,1.83666570338409e-05,0.0058319217276361,0.0491054758854809,0.0343988514140576,UP,91.43491,0.819,0.81,7,PT-S3-f/mKO._.A3,21337,Adcy10,Intronic,3389,uc011wva.1,0.4651,11397,0,FALSE,FALSE,FALSE,0,0
chr1_167244563_167245063,2.74241576543449,1.6527805277824e-05,0.00535729424030675,0.0577606554132559,0.0508303575252239,UP,23.38849,0.711,0.694,7,PT-S3-f/mKO._.B4,40313,Uck2,Intronic,40313,uc007dku.3,0.4451,11532,0,FALSE,FALSE,FALSE,0,0
chr1_169187537_169188037,-2.53712443906418,2.37556424031105e-05,0.00690904522835979,0.0221155175671659,-0.115858409133896,DOWN,33.43844,0.815,0.757,3,PT-S3-mWT._.B3,168697,Mir6354,Distal,168697,uc056yev.1,0.4551,11696,0,FALSE,FALSE,FALSE,0,0
chr1_169872884_169873384,-3.35270783622092,0.000243681768915154,0.0335687330471363,0.00105979755718665,-0.0281979960310228,DOWN,8.389,0.504,0.339,2,PT-S3-mWT._.B5,55804,Ccdc190,Distal,55804,uc007dlo.1,0.4152,11712,0,FALSE,FALSE,FALSE,0,0
chr1_170695302_170695802,-1.44817812906623,5.3592020800816e-05,0.0123875390491169,0.0586130121333402,-0.104777625866312,DOWN,36.94098,0.792,0.78,6,PT-S3-f/mKO._.B4,51019,Olfml2b,Distal,51019,uc007dmi.2,0.505,11868,0,FALSE,FALSE,FALSE,0,0
chr1_170738417_170738917,-1.21910865059813,7.89519545310313e-05,0.0163237675550943,0.0585073505314691,-0.080355479189221,DOWN,57.70515,0.876,0.837,3,PT-S3-mWT._.B5,94134,Olfml2b,Intronic,94134,uc007dmi.2,0.4271,11872,0,FALSE,FALSE,FALSE,0,0
chr1_177462125_177462625,3.33201420404677,6.0397656788695e-05,0.0136380459409774,0.0420009658514707,0.0396315237572699,UP,72.18095,0.791,0.779,7,PT-S3-f/mKO._.A1,19967,Zbtb18,Distal,3408,uc007duo.1,0.4651,12406,0,FALSE,FALSE,FALSE,0,0
chr1_179341550_179342050,-1.64961086108619,3.05839346183474e-07,0.000269514337396319,0.0448062776087446,-0.100047950352515,DOWN,67.76656,0.894,0.861,3,PT-S3-mWT._.B5,176202,Smyd3,Intronic,176202,uc007dvj.2,0.4251,12545,0,TRUE,FALSE,FALSE,0,0
chr1_180220747_180221247,-1.91286641540485,0.000312944761332522,0.039396120114124,0.0108729888609901,-0.0356010896803784,DOWN,31.4283,0.711,0.616,3,PT-S3-mWT._.B1,24976,Coq8a,Distal,9046,uc007dwa.2,0.5489,12697,0,FALSE,FALSE,FALSE,0,0
chr1_180319537_180320037,-3.32827527629788,1.72040890328069e-06,0.000997023571515043,0.00306735173942174,-0.045829596495395,DOWN,11.16943,0.579,0.438,3,PT-S3-mWT._.B5,10688,Itpkb,Distal,10688,uc007dwg.1,0.4711,12724,0,FALSE,TRUE,FALSE,0,0
chr1_182409763_182410263,2.69732824812921,0.00031344368116368,0.039396120114124,0.0211682362829996,0.0195961966993738,UP,16.77486,0.529,0.487,5,PT-S2-f/mKO._.A3,845,Trp53bp2,Intronic,845,uc007dyc.1,0.4032,13030,0,TRUE,FALSE,FALSE,0,0
chr1_184500065_184500565,-3.20669065675401,0.000246492904616077,0.0337779979856188,0.00191369158897704,-0.0322186970976752,DOWN,4.98648,0.368,0.189,3,PT-S3-mWT._.B3,57375,1700112H15Rik,Distal,57375,uc029qvb.1,0.4271,13208,0,FALSE,FALSE,FALSE,0,0
chr1_185135962_185136462,-4.02972662658439,3.24103739453538e-05,0.00865581392151465,0,-0.0306661975832933,DOWN,3.51124,0.222,0.075,3,PT-S3-mWT._.B3,67955,Rab3gap2,Distal,67955,uc007dyu.2,0.4192,13300,0,FALSE,FALSE,FALSE,0,0
chr1_186136994_186137494,1.45210766984016,0.000233999531884881,0.0325397646915661,0.0921283579629691,0.0597256588518483,UP,219.90433,0.923,0.917,7,PT-S3-f/mKO._.A1,19933,Lyplal1,Distal,19933,uc007dzm.2,0.4072,13379,0,FALSE,FALSE,FALSE,1,0
chr1_186325532_186326032,2.89018421770991,3.2756902395885e-06,0.00164334883814989,0.0646101991712214,0.057625395540828,UP,124.53,0.861,0.854,7,PT-S3-f/mKO._.A1,208471,Lyplal1,Distal,208471,uc007dzm.2,0.3872,13400,0,TRUE,FALSE,TRUE,0,0
chr1_186705701_186706201,1.71497852114633,0.00011490467045942,0.0208368627635554,0.0386465682019788,0.0282653349013485,UP,22.71174,0.583,0.549,7,PT-S3-f/mKO._.A3,40,Tgfb2,Promoter,40,uc007dzo.2,0.5449,13417,0,FALSE,FALSE,FALSE,0,0
chr1_189017678_189018178,1.861879018553,9.11661205367842e-05,0.0179432201417362,0.0653204542772736,0.0487994042402451,UP,223.39934,0.916,0.91,7,PT-S3-f/mKO._.A2,10087,Kctd3,Distal,10087,uc007eai.1,0.4391,13625,0,TRUE,FALSE,FALSE,0,0
chr1_191875155_191875655,1.67797724402451,0.000204919769707081,0.0298916074239552,0.104620491652306,0.0732994017504825,UP,127.87186,0.864,0.857,7,PT-S3-f/mKO._.A1,31375,Slc30a1,Distal,23723,uc007ecz.1,0.481,13990,0,FALSE,FALSE,FALSE,0,0
chr1_191883434_191883934,2.37745029144772,0.000347985051817313,0.0411647596138722,0.0377828985046292,0.0321267108266162,UP,31.17945,0.646,0.621,7,PT-S3-f/mKO._.A3,23096,Slc30a1,Distal,15444,uc007ecz.1,0.4451,14000,0,TRUE,FALSE,FALSE,0,0
chr1_20705041_20705541,-1.93152561990574,0.000101341049299767,0.0192303550814512,0.0182886181855315,-0.0571040140964023,DOWN,32.38314,0.793,0.73,3,PT-S3-mWT._.B5,25613,Il17a,Distal,25613,uc007aky.1,0.4731,735,0,TRUE,FALSE,TRUE,0,0
chr1_23963528_23964028,-3.39562270426335,9.62985698087502e-06,0.00372050868524815,0.00176062500675695,-0.0358165068264065,DOWN,11.0558,0.596,0.463,4,PT-S2-mWT._.B5,41396,Smap1,Distal,41396,uc007amh.2,0.3992,959,0,FALSE,FALSE,FALSE,0,0
chr1_24211354_24211854,-1.14858115522293,2.80875907169386e-05,0.00778781227699259,0.0592126088027868,-0.0744931473107186,DOWN,50.35211,0.84,0.801,4,PT-S2-mWT._.B1,33993,Col9a1,Intronic,16400,uc007amp.3,0.3693,982,0,TRUE,FALSE,FALSE,0,0
chr1_24211982_24212482,-2.72230208326682,8.68459593833295e-08,0.00010320107116861,0.00666794877177613,-0.048534012585791,DOWN,17.27583,0.678,0.577,3,PT-S3-mWT._.B5,34621,Col9a1,Intronic,17028,uc007amp.3,0.3832,983,0,FALSE,FALSE,FALSE,0,0
chr1_24303607_24304107,-3.40142115852894,2.37108932498903e-09,5.69274352140836e-06,0.0112744722007407,-0.126989798819229,DOWN,50.48161,0.87,0.83,3,PT-S3-mWT._.B3,126246,Col9a1,Intronic,108653,uc007amp.3,0.4411,987,0,FALSE,FALSE,FALSE,0,0
chr1_24307194_24307694,-3.34973996365118,1.02091827606628e-09,2.76103240619634e-06,0.00774898699150032,-0.0896384972546362,DOWN,49.36995,0.855,0.81,3,PT-S3-mWT._.B5,129833,Col9a1,Intronic,112240,uc007amp.3,0.4331,990,0,TRUE,FALSE,FALSE,0,0
chr1_24327175_24327675,-1.84022538627489,0.000118461400965126,0.0212456812147485,0.0144768785904264,-0.042521215433949,DOWN,24.97888,0.77,0.698,2,PT-S3-mWT._.B3,149814,Col9a1,Intronic,125319,uc011wir.1,0.4232,991,0,FALSE,FALSE,TRUE,0,0
chr1_24337984_24338484,-3.15633453098456,1.0881081561832e-08,1.93953630190933e-05,0.00916328459963159,-0.0883642776828597,DOWN,11.07708,0.61,0.479,3,PT-S3-mWT._.B3,160623,Col9a1,Intronic,114510,uc011wir.1,0.4212,992,0,TRUE,FALSE,FALSE,1,0
chr1_24347699_24348199,-2.27730038545271,6.71968032852277e-11,3.29387530236972e-07,0.0300970691622498,-0.123499889250212,DOWN,60.54441,0.882,0.846,3,PT-S3-mWT._.B5,170338,Col9a1,Intronic,104795,uc011wir.1,0.483,993,0,FALSE,FALSE,FALSE,0,0
chr1_24380563_24381063,-3.56033749490133,5.93278535668081e-05,0.013461072333681,0.00189194111151341,-0.0420209500117174,DOWN,9.04273,0.419,0.23,3,PT-S3-mWT._.B1,203202,Col9a1,Intronic,71931,uc011wir.1,0.4431,997,0,FALSE,FALSE,FALSE,0,0
chr1_31050254_31050754,1.94412208817514,0.000376938483343634,0.0431937341373327,0.0692927088824232,0.0527656682929265,UP,82.07458,0.804,0.794,7,PT-S3-f/mKO._.A3,45949,Gm29669,Intronic,45949,uc057kfp.1,0.4491,1144,0,FALSE,FALSE,FALSE,0,0
chr1_32632628_32633128,-4.15518356828542,1.63849260793045e-05,0.00535729424030675,0.00169200447239039,-0.0620884864007424,DOWN,36.73769,0.796,0.746,3,PT-S2-mWT._.B1,85584,Gm5415,Intronic,85584,uc011wiw.1,0.3772,1169,0,TRUE,FALSE,FALSE,0,0
chr1_33098031_33098531,-2.05807291616546,0.000132716834450188,0.0225952811462489,0.0101459622006554,-0.0384334300020468,DOWN,36.12872,0.738,0.656,3,PT-S3-mWT._.B1,550987,Gm5415,Distal,384075,uc007ans.2,0.4112,1175,0,FALSE,FALSE,FALSE,0,0
chr1_34854987_34855487,-2.02408924797488,7.68263924171353e-06,0.00312199105682952,0.0245557002104921,-0.0814556350003783,DOWN,193.20438,0.894,0.89,8,PT-S1._.A2,5277,Plekhb2,Intronic,5277,uc007apk.2,0.521,1316,0,FALSE,FALSE,TRUE,0,0
chr1_35452949_35453449,2.46695223085458,0.000433610838375766,0.0478758455841188,0.071443257138039,0.060159365941132,UP,78.20969,0.802,0.792,7,PT-S3-f/mKO._.A1,603239,Plekhb2,Distal,426645,uc007apm.1,0.503,1345,0,TRUE,FALSE,FALSE,0,0
chr1_35523810_35524310,1.87123202588406,3.30945884820319e-05,0.00881852721943411,0.068661674379898,0.0513470193638159,UP,71.42344,0.784,0.772,6,PT-S3-f/mKO._.A3,544339,Hs6st1,Distal,355784,uc007apm.1,0.4651,1349,0,FALSE,FALSE,FALSE,0,0
chr1_36536060_36536560,1.27823633013126,5.36852421241504e-05,0.0123959698222837,0.0811246039424176,0.0488523937935101,UP,53.77681,0.806,0.795,7,PT-S3-f/mKO._.B2,3047,Ankrd23,Intronic,245,uc007aqm.2,0.5309,1556,0,FALSE,FALSE,FALSE,0,0
chr1_37518060_37518560,1.11887413843993,1.22414509422271e-07,0.000136505521767523,0.151183931983012,0.0826499283392096,UP,204.98494,0.914,0.908,7,PT-S3-f/mKO._.A3,22705,Mgat4a,Intronic,18093,uc007aru.2,0.4711,1679,0,FALSE,FALSE,TRUE,0,0
chr1_37540826_37541326,1.07518458908292,0.000162739708148826,0.026101363633893,0.197786031708806,0.10496551698416,UP,476.96021,0.973,0.964,8,PT-S1._.A3,59,Mgat4a,Promoter,59,uc007arv.3,0.7405,1687,0,TRUE,FALSE,FALSE,0,0
chr1_40025374_40025874,-1.88197814194537,4.40558676676564e-05,0.0108884632266676,0.0212888813874446,-0.0625492986220437,DOWN,42.61732,0.793,0.791,8,PT-S1._.B1,59143,Il1r2,Exonic,59143,uc007atu.3,0.3932,1888,0,FALSE,FALSE,FALSE,0,0
chr1_40026297_40026797,-1.03430749349108,0.000206477256980237,0.0300257236343425,0.0237107958786407,-0.0269482639207998,DOWN,17.15281,0.703,0.61,3,PT-S3-mWT._.B3,58220,Il1r2,Distal,58220,uc007atu.3,0.4451,1889,0,TRUE,FALSE,FALSE,0,0
chr1_54763502_54764002,-2.90719566938874,0.00042604626620779,0.0474413506310925,0.00234427219649688,-0.0282446598378164,DOWN,5.85692,0.277,0.117,2,PT-S3-mWT._.B1,162634,Ankrd44,Exonic,82022,uc007azt.1,0.4311,2557,0,FALSE,FALSE,FALSE,0,0
chr1_54767177_54767677,-1.93256557141242,2.05099941677802e-05,0.00630817713431199,0.0174131715109602,-0.0546933958425163,DOWN,53.96053,0.775,0.763,6,PT-S3-f/mKO._.A4,158959,Ankrd44,Intronic,85697,uc007azt.1,0.3952,2558,0,TRUE,FALSE,FALSE,0,0
chr1_54823817_54824317,-1.78468671054724,0.000171510540409712,0.0270471662412335,0.0103704223820658,-0.0302510806996822,DOWN,18.35441,0.691,0.595,3,PT-S3-mWT._.B5,102319,Ankrd44,Intronic,102319,uc011wkz.1,0.4591,2562,0,FALSE,FALSE,FALSE,0,0
chr1_55325470_55325970,-3.51475883447787,9.62952000292778e-05,0.0186171775057426,0,-0.0208600845515188,DOWN,25.63472,0.766,0.706,3,PT-S2-mWT._.B5,37748,Boll,Intronic,36986,uc011wlb.1,0.513,2658,0,FALSE,FALSE,FALSE,0,0
chr1_55326170_55326670,-2.35928320572399,0.000309742645978692,0.0392031886428373,0.00394120024753233,-0.0245440106382807,DOWN,15.90932,0.679,0.587,2,PT-S2-mWT._.B5,37048,Boll,Intronic,36286,uc011wlb.1,0.4112,2659,0,TRUE,FALSE,FALSE,0,0
chr1_56784299_56784799,-2.92345187390212,0.000416430248035674,0.0467243873151253,0.00110059727535065,-0.0204223679196143,DOWN,7.43982,0.504,0.339,3,PT-S3-mWT._.B3,147097,Hsfy2,Distal,147097,uc007bar.3,0.5409,2745,0,FALSE,FALSE,FALSE,0,0
chr1_56784907_56785407,-3.80669248139718,2.09416739785424e-10,7.94729772106981e-07,0.00606159188735326,-0.104748883582284,DOWN,59.12117,0.879,0.841,3,PT-S3-mWT._.B5,147705,Hsfy2,Distal,147705,uc007bar.3,0.489,2746,0,TRUE,FALSE,TRUE,0,0
chr1_56905749_56906249,-1.68487607019923,2.14237484308461e-05,0.00647911429408344,0.0256571805075122,-0.061264188485744,DOWN,37.22947,0.831,0.779,3,PT-S3-mWT._.B3,65334,Satb2,Intronic,65334,uc007bas.1,0.3832,2774,0,FALSE,FALSE,FALSE,0,0
chr1_57018308_57018808,-3.31301496707339,0.000140472850347581,0.0234408340514763,0.000629672897259436,-0.0235050928349807,DOWN,7.05038,0.333,0.246,3,PT-S1._.A4,47088,9130024F11Rik,Intronic,47088,uc011wld.1,0.3333,2805,0,FALSE,FALSE,FALSE,0,0
chr1_57018921_57019421,-2.64121360872731,8.80300880764586e-06,0.00347431792863065,0.0108874923652261,-0.0675119325265366,DOWN,242.26225,0.907,0.903,7,PT-S2-f/mKO._.A3,47701,9130024F11Rik,Intronic,47701,uc011wld.1,0.4192,2806,0,FALSE,FALSE,FALSE,0,0
