Category	ID	Title (or Source)	Verbose ID	Core-F_logP	Core-M_logP	All-M_logP	All-F_logP	Core-F_GeneSet	Core-M_GeneSet	All-M_GeneSet	All-F_GeneSet
GO: Biological Process	GO:0040012	regulation of locomotion	GeneOntologyBiologicalProcess_GO:0040012_regulation of locomotion	0.0	0.0	0.0	10.0				ABCC1,ABHD6,ACTA2,ADIPOQ,AIF1,AMOTL1,ANGPT1,ANGPT2,ANGPTL3,APELA,APOE,ARHGDIB,ATP8A1,BEX4,C3AR1,CAV1,CAVIN1,CEACAM1,CLDN1,CLDN19,CLN3,CX3CR1,DAPK2,DCN,DDR2,DDX58,EFEMP1,EFNB2,EMP2,EPB41L4B,EPCAM,ERBB2,ERBB4,FAM107A,FBLN1,FN1,GATA2,GATA3,GLUL,GPER1,IFITM1,IGF1,IL33,JAK2,JAM2,LAMA4,LAMB1,LIMCH1,LPAR1,MITF,MMP2,NOX4,NRG4,NTF3,OLFM1,PADI2,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PPARG,PPARGC1A,PRR5L,PTGER3,PTPRO,PYCARD,RECK,RETN,SEMA3D,SEMA5A,SGK1,SLIT2,SMAD3,SNAI2,SRGAP3,SRPX2,STAP1,STK39,TERT,TGFB2,TGFBR3,TMSB10,TMSB4X,TSHR,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0051272	positive regulation of cellular component movement	GeneOntologyBiologicalProcess_GO:0051272_positive regulation of cellular component movement	0.0	0.0	0.0	10.0				ABCC1,ACTA2,AIF1,AMOTL1,ANGPT1,ANGPTL3,APELA,ATP8A1,C3AR1,CAV1,CAVIN1,CLDN1,CX3CR1,DAPK2,DDR2,EPB41L4B,EPCAM,ERBB4,FAM107A,FBLN1,FN1,GATA2,GATA3,GPER1,IGF1,JAK2,JAM2,LAMB1,LPAR1,MMP2,NOX4,NTF3,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PTGER3,PYCARD,RETN,SEMA3D,SEMA5A,SMAD3,SNAI2,SRPX2,STK39,TERT,TGFB2,TMSB4X,TRIM46,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0043062	extracellular structure organization	GeneOntologyBiologicalProcess_GO:0043062_extracellular structure organization	0.0	0.0	0.0	10.0				ADAMTS5,ANXA2,BMP1,CAPG,CAV1,CCDC80,CPB2,CTSK,DCN,DDR2,DPT,ELF3,FBLN1,FBLN2,FGB,FGG,FN1,GSN,ITGA1,JAM2,LAMA4,LAMB1,LUM,MFAP2,MFAP5,MMP2,MYH11,NPNT,PDGFRA,PDPN,PMP22,POSTN,RECK,SEMA5A,SH3PXD2A,SMAD3,SPP1,TGFB2,TGFBI,THSD4,TIMP2
GO: Biological Process	GO:0046463	acylglycerol biosynthetic process	GeneOntologyBiologicalProcess_GO:0046463_acylglycerol biosynthetic process	0.0	0.0	0.0	10.0				ACSL1,ACSL5,AGMO,C3,GPAT3,LDLR,PLA2G15,PLA2G4A,PLCE1,PNPLA2,PNPLA3,SLC27A1,THRSP
GO: Biological Process	GO:0003013	circulatory system process	GeneOntologyBiologicalProcess_GO:0003013_circulatory system process	0.0	0.0	0.0	10.0				ABCB1,ABCC1,ABCC3,ABCC4,ACTA2,ADIPOQ,ANGPT1,ANK2,APELA,APLN,APOE,ATP1A2,ATP8A1,C3AR1,CAV1,CEACAM1,CELF2,DES,DSG2,DSP,EMP2,FABP5,FGB,FGG,FXYD1,FXYD4,FYN,GPER1,GSN,GSTM2,GSTO1,GUCY1A1,HEG1,IRAG1,ITGA1,ITPR2,JAK2,KCNE1,KCNE4,KCNK1,KCNK3,LEPR,MME,MMP2,MYOF,NAV2,NCALD,NOX4,NPR2,NPY1R,PDE3A,POSTN,PPARG,PTGER3,PTGS1,PTPRO,SCN2B,SERPING1,SGK1,SLC16A7,SLC1A3,SLC1A5,SLC27A1,SLC44A1,SLC4A8,SLC5A6,SLC6A17,SLC6A4,SLC7A2,SLC7A8,SLIT2,SMAD3,SMTNL2,SP4,STK39,TBXAS1,TGFB2,TGFBR3
GO: Biological Process	GO:0034638	phosphatidylcholine catabolic process	GeneOntologyBiologicalProcess_GO:0034638_phosphatidylcholine catabolic process	0.0	0.0	0.0	10.0				APOC1,GDPD3,LDLR,PLA2G15,PLA2G4A,PLA2G5,PLA2G7,PNPLA7
GO: Biological Process	GO:0030036	actin cytoskeleton organization	GeneOntologyBiologicalProcess_GO:0030036_actin cytoskeleton organization	0.0	0.0	0.0	10.0				ABLIM3,AIF1,AMOTL1,ARFGEF3,ARHGAP28,ARHGDIB,CAPG,CCDC88A,CDC42EP2,CDC42EP5,CLDN19,CLN3,CNN1,COTL1,CTTNBP2,CYRIA,DIXDC1,EMP2,EPB41L2,EPB41L3,EPB41L4A,EPB41L4B,FAM107A,GAS7,GSN,HIP1,JAK2,KANK2,KRT19,LIMCH1,LPAR1,MARCKS,MRAS,MYH10,MYH11,MYO5C,NOTCH2,NOX4,NTF3,OPHN1,PDGFRA,PDLIM1,PDLIM3,PLS3,PMP22,PRKCQ,PYCARD,RAB13,RHOU,RTKN,SEMA5A,SH3KBP1,SLIT2,SMAD3,SMTNL2,SPTBN2,STAP1,SVIL,TGFB2,TMSB10,TMSB4X
GO: Biological Process	GO:0044057	regulation of system process	GeneOntologyBiologicalProcess_GO:0044057_regulation of system process	0.0	0.0	0.0	10.0				ADIPOQ,AIF1,ANK2,ANXA6,APELA,APLN,APOE,ARG2,ATP1A2,CAV1,CELF2,CNN1,DES,DSG2,DSP,EMP2,FABP5,FGB,FGG,FXYD1,FXYD4,GPER1,GSTM2,GSTO1,GUCY1A1,IGF1,IGSF9B,IL33,IRAG1,ITPR2,JAK2,JAM2,KCNE1,KCNE4,KCNK1,KCNK3,MGLL,MMP2,MYL9,NCAM1,NPNT,NPR2,NPY1R,ORMDL3,PI16,PLCE1,PPARGC1A,PTGER3,PTGS1,PTPRO,RETN,SCN2B,SGK1,SHISA7,SMAD3,SMTNL2,SP4,STK39,SYNE1,TBXAS1,TENM4,TGFB2,TMEM100,TMEM98,TPPP,UTRN
GO: Biological Process	GO:0042060	wound healing	GeneOntologyBiologicalProcess_GO:0042060_wound healing	0.0	0.0	0.0	10.0				ACTA2,ANXA2,ANXA6,ANXA8,APOE,C3,CASK,CAV1,CEACAM1,CLDN1,CLDN19,CPB2,DCN,DOCK9,DSP,EPB41L4B,ERBB2,FBLN1,FGB,FGG,FN1,FYN,GATA2,GATA3,GNG2,GSN,HGFAC,IGF1,ITPR2,JAK2,MUSTN1,MYH10,MYL9,MYOF,NOTCH2,PAPSS2,PDGFRA,PDPN,PLA2G4A,PLAT,PLET1,POSTN,PRKAR1B,PRKAR2B,PRKCQ,PTGER3,RAB27A,SERPING1,SMAD3,SNAI2,STXBP1,SYTL4,TFPI,TFPI2,TGFB2,WNT5A,WNT5B
GO: Biological Process	GO:0046503	glycerolipid catabolic process	GeneOntologyBiologicalProcess_GO:0046503_glycerolipid catabolic process	0.0	0.0	0.0	10.0				ABHD6,APOC1,FABP1,FABP4,FABP5,GDPD1,GDPD3,LDLR,LIPE,MGLL,PLA2G15,PLA2G4A,PLA2G5,PLA2G7,PNPLA2,PNPLA3,PNPLA7
GO: Biological Process	GO:0048871	multicellular organismal homeostasis	GeneOntologyBiologicalProcess_GO:0048871_multicellular organismal homeostasis	0.0	0.0	0.0	10.0				ABCA4,ABHD6,ACACA,ACACB,ACSL1,ADAMTS5,ADCY1,ADIPOQ,ALB,ALDH1A1,AMPD3,ANGPT1,APLN,BBS12,CAV1,CLDN1,CTSK,ELOVL6,ERBB4,FABP4,FABP5,GATA2,GJB6,IGKC,JAK2,JAM2,JCHAIN,LAMA4,LEPR,MFAP2,NOX4,PLA2G4A,PPARGC1A,PRKAR1B,PRKAR2B,PRLR,PROM1,PTGER3,PTGES,PTGS1,RAB3D,RBP4,SCD,SLC27A1,SNX10,SPP1,STK39,TSHR
GO: Biological Process	GO:0051270	regulation of cellular component movement	GeneOntologyBiologicalProcess_GO:0051270_regulation of cellular component movement	0.0	0.0	0.0	10.0				ABCC1,ABHD6,ACTA2,ADIPOQ,AIF1,AMOTL1,ANGPT1,ANGPT2,ANGPTL3,ANK2,APELA,APOE,ARHGDIB,ATP1A2,ATP8A1,BEX4,C3AR1,CAV1,CAVIN1,CEACAM1,CLDN1,CLDN19,CLN3,CX3CR1,DAPK2,DCN,DDR2,DDX58,DSG2,DSP,EFEMP1,EMP2,EPB41L4B,EPCAM,ERBB2,ERBB4,FAM107A,FBLN1,FN1,FXYD1,GATA2,GATA3,GLUL,GPER1,IFITM1,IGF1,IL33,JAK2,JAM2,LAMA4,LAMB1,LIMCH1,LPAR1,MITF,MMP2,NOX4,NRG4,NTF3,OLFM1,PADI2,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PPARG,PPARGC1A,PRR5L,PTGER3,PTPRO,PYCARD,RECK,RETN,SEMA3D,SEMA5A,SGK1,SLIT2,SMAD3,SNAI2,SRGAP3,SRPX2,STAP1,STK39,TERT,TGFB2,TGFBR3,TMSB10,TMSB4X,TRIM46,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0099500	vesicle fusion to plasma membrane	GeneOntologyBiologicalProcess_GO:0099500_vesicle fusion to plasma membrane	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GGH,GSN,HEBP2,HP,IGF1,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PKM,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:0006906	vesicle fusion	GeneOntologyBiologicalProcess_GO:0006906_vesicle fusion	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,CLN3,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GGH,GSN,HEBP2,HP,IGF1,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PKM,PLA2G4A,PLA2G5,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TBC1D4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:0043270	positive regulation of ion transport	GeneOntologyBiologicalProcess_GO:0043270_positive regulation of ion transport	0.0	0.0	0.0	10.0				ABCA1,ABCB1,ABLIM3,ACSL1,ACSL5,ADIPOQ,AKAP7,ANK2,ANXA2,APLN,APOE,ATP8A1,C1QTNF2,C3,CASK,CAV1,CLN3,ERBB2,ERBB4,FGB,FGG,FRMD4A,FXYD1,FYN,GLUL,GPC3,GPER1,GSTM2,GSTO1,HSPA2,IGF1,JAK2,KCNB1,KCNE1,LEPR,LRAT,MYH10,PLA2G4A,PLTP,PRKCQ,PRR5L,PTGES,RBP4,RETN,RHOU,RNASEL,SGK1,SLC36A2,SLC6A4,SMAD3,SPP1,STK39,STOM,STXBP1,SYTL2,SYTL4,TERT,TFDP2,TGFB2,TMEM30B,TMSB4X,TRH
GO: Biological Process	GO:0040017	positive regulation of locomotion	GeneOntologyBiologicalProcess_GO:0040017_positive regulation of locomotion	0.0	0.0	0.0	10.0				ABCC1,ACTA2,AIF1,AMOTL1,ANGPT1,ANGPTL3,APELA,ATP8A1,C3AR1,CAV1,CAVIN1,CLDN1,CX3CR1,DAPK2,DDR2,EPB41L4B,EPCAM,ERBB4,FAM107A,FBLN1,FN1,GATA2,GATA3,GPER1,IGF1,JAK2,JAM2,LAMB1,LPAR1,MMP2,NOX4,NTF3,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PTGER3,PYCARD,RETN,SEMA3D,SEMA5A,SLIT2,SMAD3,SNAI2,SRPX2,STK39,TERT,TGFB2,TMSB4X,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0009611	response to wounding	GeneOntologyBiologicalProcess_GO:0009611_response to wounding	0.0	0.0	0.0	10.0				ACTA2,ANXA2,ANXA6,ANXA8,APOE,C3,CASK,CAV1,CEACAM1,CLDN1,CLDN19,CPB2,CX3CR1,CYP1A1,DCN,DOCK9,DSP,EPB41L4B,ERBB2,FBLN1,FGB,FGG,FN1,FYN,GATA2,GATA3,GNG2,GSN,HGFAC,ID3,IGF1,ITPR2,JAK2,MMP2,MUSTN1,MYH10,MYL9,MYOF,NOTCH2,NREP,PAPSS2,PDGFRA,PDPN,PLA2G4A,PLAT,PLET1,POSTN,PRKAR1B,PRKAR2B,PRKCQ,PTGER3,RAB27A,SERPING1,SLC1A3,SMAD3,SNAI2,SPP1,STXBP1,SYTL4,TFPI,TFPI2,TGFB2,WNT5A,WNT5B
GO: Biological Process	GO:0090174	organelle membrane fusion	GeneOntologyBiologicalProcess_GO:0090174_organelle membrane fusion	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,CLN3,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GGH,GSN,HEBP2,HP,IGF1,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PKM,PLA2G4A,PLA2G5,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TBC1D4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:0044070	regulation of anion transport	GeneOntologyBiologicalProcess_GO:0044070_regulation of anion transport	0.0	0.0	0.0	10.0				ABCA1,ABCB1,ABLIM3,ACSL1,ACSL5,ADIPOQ,ANGPT1,ANO9,ANXA2,APLN,APOC1,APOE,ARG2,ATP1A2,ATP8A1,ATP8B1,C1QTNF2,C3,CASK,CAV1,CLN3,EFNB2,ERBB2,ERBB4,FABP5,FGB,FGG,FRMD4A,FXYD1,FYN,GLUL,GPC3,GPER1,HK2,HMGN3,IFI27,IGF1,INSIG1,ITPR2,JAK2,KCNB1,KCNE1,LEPR,LRAT,LYPLAL1,MAOB,MDFIC,MYH10,OPHN1,PDE3B,PDE8B,PID1,PLA2G4A,PLTP,PPARG,PRKCQ,PRR5L,PTGER3,PTGES,PTGS1,PTPN14,RAB11FIP1,RBP4,REST,RETN,RHOU,RNASEL,SFRP4,SLC36A2,SLC43A1,SLC6A4,SMAD3,SNCG,SPP1,STOM,STXBP1,SYNE1,SYTL2,SYTL4,TERT,TFDP2,TGFB2,TMEM30B,TRH
GO: Biological Process	GO:0006690	icosanoid metabolic process	GeneOntologyBiologicalProcess_GO:0006690_icosanoid metabolic process	0.0	0.0	0.0	10.0				ABCC1,CBR1,CYP1A1,CYP2F1,EPHX1,FABP5,GGT6,HPGD,LTC4S,MGLL,MGST3,PDPN,PLA2G4A,PLA2G5,PON3,PTGDS,PTGES,PTGS1,TBXAS1
GO: Biological Process	GO:0051050	positive regulation of transport	GeneOntologyBiologicalProcess_GO:0051050_positive regulation of transport	0.0	0.0	0.0	10.0				ABCA1,ABCB1,ABLIM3,ACSL1,ACSL5,ADIPOQ,AKAP7,ANGPT1,ANK2,ANXA2,APELA,APLN,APOE,ATP8A1,C1QTNF2,C2,C3,CADPS2,CASK,CAV1,CLN3,CPB2,EEF2K,ERBB2,ERBB4,FGB,FGG,FRMD4A,FXYD1,FYN,GATA2,GLUL,GPC3,GPER1,GSTM2,GSTO1,HIP1,HSPA2,IGF1,JAK2,KCNB1,KCNE1,LEPR,LRAT,MYH10,NTF3,PLA2G4A,PLA2G5,PLTP,PPARG,PRKCQ,PRR5L,PTGES,PYCARD,RAB27A,RAB27B,RAB3D,RBP4,RETN,RHOU,RNASEL,SFRP4,SGK1,SIVA1,SLC36A2,SLC4A8,SLC6A4,SMAD3,SPAG5,SPP1,STAP1,STK39,STOM,STXBP1,SYNE1,SYTL2,SYTL4,TERT,TFDP2,TGFB2,TMEM30B,TMSB4X,TRH,TRIM46,WNT5A
GO: Biological Process	GO:2000145	regulation of cell motility	GeneOntologyBiologicalProcess_GO:2000145_regulation of cell motility	0.0	0.0	0.0	10.0				ABCC1,ABHD6,ACTA2,ADIPOQ,AIF1,AMOTL1,ANGPT1,ANGPT2,ANGPTL3,APELA,APOE,ARHGDIB,ATP8A1,BEX4,C3AR1,CAV1,CAVIN1,CEACAM1,CLDN1,CLDN19,CLN3,CX3CR1,DAPK2,DCN,DDR2,DDX58,EFEMP1,EMP2,EPB41L4B,EPCAM,ERBB2,ERBB4,FAM107A,FBLN1,FN1,GATA2,GATA3,GLUL,GPER1,IFITM1,IGF1,IL33,JAK2,JAM2,LAMA4,LAMB1,LIMCH1,LPAR1,MITF,MMP2,NOX4,NRG4,NTF3,OLFM1,PADI2,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PPARG,PPARGC1A,PRR5L,PTGER3,PYCARD,RECK,RETN,SEMA3D,SEMA5A,SGK1,SLIT2,SMAD3,SNAI2,SRGAP3,SRPX2,STAP1,STK39,TERT,TGFB2,TGFBR3,TMSB10,TMSB4X,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0042398	cellular modified amino acid biosynthetic process	GeneOntologyBiologicalProcess_GO:0042398_cellular modified amino acid biosynthetic process	0.0	0.0	10.0	0.0			ALDH9A1,CHAC2,CHDH,CNDP2,DHFR,GCLC,GCLM,GGCT,GGT1,GSS,PLOD2,SLC1A1	
GO: Biological Process	GO:0061025	membrane fusion	GeneOntologyBiologicalProcess_GO:0061025_membrane fusion	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,CLN3,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GCM1,GGH,GSN,HEBP2,HP,IGF1,JAM2,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,MYMX,MYOF,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PKM,PLA2G4A,PLA2G5,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SH3PXD2A,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TANC1,TBC1D4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:0046460	neutral lipid biosynthetic process	GeneOntologyBiologicalProcess_GO:0046460_neutral lipid biosynthetic process	0.0	0.0	0.0	10.0				ACSL1,ACSL5,AGMO,C3,GPAT3,LDLR,PLA2G15,PLA2G4A,PLCE1,PNPLA2,PNPLA3,SLC27A1,THRSP
GO: Biological Process	GO:0030198	extracellular matrix organization	GeneOntologyBiologicalProcess_GO:0030198_extracellular matrix organization	0.0	0.0	0.0	10.0				ADAMTS5,ANXA2,BMP1,CAPG,CAV1,CCDC80,CPB2,CTSK,DCN,DDR2,DPT,ELF3,FBLN1,FBLN2,FGB,FGG,FN1,GSN,ITGA1,JAM2,LAMA4,LAMB1,LUM,MFAP2,MFAP5,MMP2,MYH11,NPNT,PDGFRA,PDPN,PMP22,POSTN,RECK,SEMA5A,SH3PXD2A,SMAD3,SPP1,TGFB2,TGFBI,THSD4,TIMP2
GO: Biological Process	GO:0045444	fat cell differentiation	GeneOntologyBiologicalProcess_GO:0045444_fat cell differentiation	0.0	0.0	0.0	10.0				ADIG,ADIPOQ,ANGPTL8,ASXL1,BBS12,FABP4,GATA2,GATA3,GPER1,ID4,IGF1,INSIG1,KLF5,LAMA4,MECOM,MRAP,PDGFRA,PID1,PNPLA3,PPARG,PPARGC1A,RETN,RNASEL,SMAD3,SNAI2,SORT1,STEAP4,WNT5A,WNT5B
GO: Biological Process	GO:0048284	organelle fusion	GeneOntologyBiologicalProcess_GO:0048284_organelle fusion	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,CLN3,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GGH,GSN,HEBP2,HP,IGF1,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PID1,PKM,PLA2G4A,PLA2G5,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TBC1D4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:0060627	regulation of vesicle-mediated transport	GeneOntologyBiologicalProcess_GO:0060627_regulation of vesicle-mediated transport	0.0	0.0	0.0	10.0				ADCY1,ADIPOQ,ANGPT1,ANXA2,APELA,APLN,APOC1,APOE,C2,C3,CADPS2,CASK,CAV1,CEACAM1,CLN3,EEF2K,EFNB2,FGB,FGG,GATA2,GPC3,HIP1,KCNB1,LYPLAL1,NTF3,OPHN1,PCLO,PLA2G4A,PLA2G5,PLS3,PPARG,PRKAR1B,PYCARD,RAB13,RAB27A,RAB27B,RAB3D,REST,SEPTIN1,SEPTIN4,SFRP4,SLC4A8,STAP1,STON1,STON2,STXBP1,SYNE1,SYTL4,TBC1D4,WNT5A
GO: Biological Process	GO:0007507	heart development	GeneOntologyBiologicalProcess_GO:0007507_heart development	0.0	0.0	0.0	10.0				ACACB,ALDH1A2,ANGPT1,ANK2,APELA,APLN,ASXL1,CDKL1,CRIP1,DHRS3,DIPK2A,DSG2,DSP,EFNB2,ERBB2,ERBB4,ERG,FN1,FREM2,GATA3,GPC3,GPER1,HEG1,ID3,IGF1,KDM6A,KLF5,MECOM,MMP2,MYH10,MYH11,NCAM1,NOTCH2,NOX4,NPY1R,OLFM1,PDGFRA,PDLIM1,PDLIM3,PDPN,PI16,PLCE1,PPARG,PRICKLE1,RBP4,REST,SALL1,SLIT2,SMAD3,SNAI2,STRA6,TENM4,TFDP2,TGFB2,TGFBR3,TMEM100,WNT5A
GO: Biological Process	GO:0006750	glutathione biosynthetic process	GeneOntologyBiologicalProcess_GO:0006750_glutathione biosynthetic process	0.0	0.0	10.0	0.0			CHAC2,CNDP2,GCLC,GCLM,GGCT,GGT1,GSS,SLC1A1	
GO: Biological Process	GO:0030334	regulation of cell migration	GeneOntologyBiologicalProcess_GO:0030334_regulation of cell migration	0.0	0.0	0.0	10.0				ABCC1,ABHD6,ACTA2,ADIPOQ,AIF1,AMOTL1,ANGPT1,ANGPT2,ANGPTL3,APELA,APOE,ARHGDIB,ATP8A1,BEX4,C3AR1,CAV1,CEACAM1,CLDN1,CLDN19,CLN3,CX3CR1,DAPK2,DCN,DDR2,DDX58,EFEMP1,EMP2,EPB41L4B,ERBB4,FAM107A,FBLN1,FN1,GATA2,GATA3,GLUL,GPER1,IFITM1,IGF1,IL33,JAK2,JAM2,LAMA4,LAMB1,LIMCH1,LPAR1,MITF,MMP2,NOX4,NTF3,OLFM1,PADI2,PDGFRA,PDPN,PLA2G7,PLET1,POSTN,PPARG,PPARGC1A,PRR5L,PTGER3,PYCARD,RECK,RETN,SEMA3D,SEMA5A,SGK1,SLIT2,SMAD3,SNAI2,SRGAP3,SRPX2,STAP1,STK39,TERT,TGFB2,TGFBR3,TMSB10,TMSB4X,VEGFD,WNT5A,WNT5B
GO: Biological Process	GO:0009636	response to toxic substance	GeneOntologyBiologicalProcess_GO:0009636_response to toxic substance	0.0	0.0	0.0	10.0				ABCC1,ALB,APOE,CLDN1,CYP1A1,CYP2F1,DDC,EPHX1,FABP1,FANCC,GPX6,GPX7,GPX8,GSTM2,GSTO1,HP,LTC4S,MAOB,MGST1,MGST3,NUPR1,PON3,PTGES,PTGS1,RDH11,SCN2B,SELENOW,SLC6A4,SLC7A8
GO: Biological Process	GO:0019184	nonribosomal peptide biosynthetic process	GeneOntologyBiologicalProcess_GO:0019184_nonribosomal peptide biosynthetic process	0.0	0.0	10.0	0.0			CHAC2,CNDP2,GCLC,GCLM,GGCT,GGT1,GSS,SLC1A1	
GO: Biological Process	GO:0006887	exocytosis	GeneOntologyBiologicalProcess_GO:0006887_exocytosis	0.0	0.0	0.0	10.0				ABCA13,ABCC4,ADCY1,AGPAT2,ALB,ALDOC,AMPD3,ANXA2,ATP8A1,C3,C3AR1,CADPS2,CASK,CEACAM1,CFD,COTL1,DNASE1L1,DSP,ENDOD1,EXOC3L4,FABP5,FAM3C,FGB,FGG,FN1,GATA2,GGH,GSN,HEBP2,HP,IGF1,KCNB1,LGALS3BP,LHFPL2,MAGED2,MGST1,MME,MYH10,NCAM1,ORM1,ORMDL3,PADI2,PCDH7,PCLO,PDXK,PKM,PTGDS,PYCARD,PYGB,PYGL,QPCT,RAB11FIP1,RAB13,RAB27A,RAB27B,RAB3D,REST,RETN,S100A13,SEPTIN1,SEPTIN4,SERPING1,SLC4A8,SPP2,SPTBN2,STEAP3,STOM,STXBP1,SYTL2,SYTL3,SYTL4,TGFB2,TIMP2,TMSB4X,TRARG1,VEGFD
GO: Biological Process	GO:1903793	positive regulation of anion transport	GeneOntologyBiologicalProcess_GO:1903793_positive regulation of anion transport	0.0	0.0	0.0	10.0				ABCA1,ABCB1,ABLIM3,ACSL1,ACSL5,ADIPOQ,ANXA2,APLN,APOE,ATP8A1,C1QTNF2,C3,CASK,CAV1,CLN3,ERBB2,ERBB4,FGB,FGG,FRMD4A,FXYD1,FYN,GLUL,GPC3,GPER1,IGF1,JAK2,KCNB1,LEPR,LRAT,MYH10,PLA2G4A,PLTP,PRKCQ,PRR5L,PTGES,RBP4,RETN,RHOU,RNASEL,SLC36A2,SLC6A4,SMAD3,SPP1,STOM,STXBP1,SYTL2,SYTL4,TERT,TFDP2,TGFB2,TMEM30B,TRH
