symbol,M_0,M_2,M_4,M_8,M_79,F_0,F_2,F_4,F_8,F_79,cluster,color
Steap3,-1.5,0.47,0.5,-0.41,-0.77,-1.45,0.23,0.55,0.85,1.54,7,#FF0099FF
Acmsd,-0.68,-1.24,1.21,1.34,0.34,-0.83,-1.32,1.07,0.14,-0.04,1,#FF9900FF
Cd55,-0.06,-0.51,0.49,2.58,0.1,-0.55,-0.54,-0.57,0.02,-0.97,3,#00FF33FF
AA986860,-1.6,0.25,-0.12,-0.19,-0.29,-1.45,1.21,0.13,1.57,0.47,7,#FF0099FF
Fcamr,-0.58,-0.53,-0.26,0.55,2.68,-0.58,-0.52,-0.38,-0.2,-0.19,2,#99FF00FF
Pigr,-0.75,-0.7,-0.24,0.86,2.39,-0.75,-0.71,-0.43,-0.11,0.43,2,#99FF00FF
Ctse,1.69,-0.86,-0.72,-0.5,-0.43,1.71,-0.45,-0.83,0.72,-0.34,4,#00FFFFFF
Pm20d1,-1.15,-0.89,0.3,1.56,1.38,-1.17,-0.8,-0.14,0.4,0.51,1,#FF9900FF
Ppfia4,-0.1,-0.16,-0.86,-0.88,0.67,0.44,-1.22,-0.75,0.85,2.01,5,#0033FFFF
Tmem183a,-0.87,-1.23,0.81,1.65,0.87,-0.5,-1.44,0.37,-0.02,0.35,1,#FF9900FF
Elf3,-1.43,-0.09,0.2,-0.2,-0.11,-1.24,0.42,-0.38,2.12,0.7,5,#0033FFFF
Nav1,2.01,0.38,-0.74,-0.91,-0.61,1.41,0.22,-0.56,-0.71,-0.5,4,#00FFFFFF
Ro60,1.11,0,-1.6,-1.23,0.59,-0.99,-0.25,0.34,1.28,0.75,5,#0033FFFF
Pla2g4a,1.64,0.67,-0.73,-0.87,-0.89,1.02,1.17,-0.64,-0.55,-0.81,4,#00FFFFFF
Niban1,1.83,0.3,-0.79,-1.16,-0.46,1.45,0.28,-0.95,-0.54,0.03,4,#00FFFFFF
Rgl1,-0.89,-0.77,0.4,2.06,1.15,-0.98,-0.9,-0.19,-0.15,0.27,1,#FF9900FF
Npl,-1.17,0.9,-0.52,-0.85,0.03,-1.39,1.43,0.03,0.17,1.36,6,#9900FFFF
Rnasel,0.98,1.02,-0.75,-1.22,-0.99,1.04,1.44,-0.55,-0.59,-0.38,4,#00FFFFFF
Glul,-1.25,-0.82,1.14,0.38,-0.05,-1.25,-0.75,0.35,1.65,0.6,5,#0033FFFF
Mr1,0.95,1.23,-0.81,-1.49,-0.88,-0.04,1.67,-0.34,-0.16,-0.11,6,#9900FFFF
Fam163a,-1.21,-0.94,0.45,0.71,1.64,-0.99,-1.02,0.43,-0.1,1.03,1,#FF9900FF
Tor3a,-0.94,-0.54,-0.41,-0.77,0.61,-0.03,-0.68,0.05,0.21,2.49,2,#99FF00FF
4930523C07Rik,0.02,0.57,-1.11,-2.08,-0.19,-0.12,1.24,-0.02,1.04,0.66,6,#9900FFFF
Dpt,-1.14,2.12,-0.03,-0.53,-0.61,-1.12,1.13,0.01,0.2,-0.04,6,#9900FFFF
Aldh9a1,-1.13,-0.86,0.55,1.99,0.65,-1.15,-0.86,0.16,0.43,0.21,1,#FF9900FF
Mgst3,-1.53,-0.38,1.07,0.22,-0.3,-1.5,-0.27,1.25,1.11,0.32,7,#FF0099FF
Rgs5,1.13,1.38,-0.73,-1.01,-0.87,0.51,1.45,-0.56,-0.59,-0.7,4,#00FFFFFF
3110045C21Rik,-0.93,-0.64,0.73,2.33,0.25,-0.97,-0.68,0.21,0.16,-0.47,1,#FF9900FF
Ddr2,1.36,1.12,-1.18,-1.15,-0.41,1.34,0.29,-0.84,-0.65,0.13,4,#00FFFFFF
Uap1,-0.98,-0.57,0.12,2.27,0.84,-1.1,-0.76,-0.01,0.25,-0.05,1,#FF9900FF
Nit1,-1.03,-0.88,0.69,2.01,0.77,-1.06,-0.9,0.09,0.31,0,1,#FF9900FF
Klhdc9,-1.5,-0.15,-0.21,-0.96,0.5,-0.68,0.36,0.5,-0.02,2.16,5,#0033FFFF
Atp1a2,-0.82,0.89,-0.73,-0.72,-0.06,-0.87,0.66,-0.87,2.09,0.42,6,#9900FFFF
1700016C15Rik,-0.89,-0.76,-0.04,2.14,1.18,-0.9,-0.83,-0.23,0.09,0.26,1,#FF9900FF
Ephx1,-1.41,-0.64,0.23,0.03,0.45,-1.4,-0.43,0.33,1.6,1.24,5,#0033FFFF
Lbr,2.16,-0.43,-0.52,0.26,0.04,1.28,-0.33,-0.8,-0.82,-0.85,3,#00FF33FF
Trp53bp2,-0.91,-0.63,1.17,1.98,0.11,-1.16,-0.8,0.46,0.23,-0.47,1,#FF9900FF
Susd4,1.07,-0.02,-0.79,-0.84,-0.68,2.28,0.35,-0.61,-0.53,-0.22,4,#00FFFFFF
C130074G19Rik,-1.55,-0.28,1.21,1.24,0.73,-1.51,-0.64,0.49,0.16,0.14,1,#FF9900FF
Lyplal1,-1.09,-0.66,0.18,-0.3,-0.26,-1.15,-0.57,1.04,1.92,0.89,5,#0033FFFF
Tgfb2,1.6,0.61,-0.85,-1.14,-1,1.4,0.67,-0.28,-0.36,-0.66,4,#00FFFFFF
Ptpn14,1.64,0.47,-0.93,-1.14,-0.63,1.46,0.7,-0.71,-0.41,-0.45,4,#00FFFFFF
Slc30a1,-1.6,-0.22,1.11,1.23,1.09,-1.36,-0.55,0.52,-0.21,-0.02,1,#FF9900FF
Syt14,-0.9,-0.75,0.65,1.36,1.78,-1.13,-0.94,-0.11,0.06,-0.02,1,#FF9900FF
Irf6,-0.5,-0.77,-0.15,1.22,2.33,-0.3,-0.76,-0.48,-0.57,-0.02,1,#FF9900FF
Hsd11b1,-0.91,-0.93,0.49,2.23,0.52,-0.93,-0.86,0.28,0.32,-0.22,1,#FF9900FF
G0s2,-1.92,0.3,0.49,0.65,0.57,-1.38,1.09,-0.78,0.57,0.42,7,#FF0099FF
Camk1g,1.15,0.01,-0.52,-2.03,-0.95,0.94,-0.01,0.21,-0.02,1.2,4,#00FFFFFF
Frmd4a,1.78,0.45,-0.58,-1,-0.84,1.59,0.28,-0.35,-0.7,-0.62,4,#00FFFFFF
Phyh,-1.23,-0.73,0.7,1.82,0.69,-1.31,-0.71,0.42,0.51,-0.16,1,#FF9900FF
Mcm10,1.92,-0.36,-0.12,0.55,-0.21,1.41,-0.33,-0.85,-0.97,-1.03,3,#00FF33FF
Celf2,1.99,-0.01,-1.02,-1.13,-0.3,1.31,-0.45,-0.79,0.03,0.37,4,#00FFFFFF
Gata3,0.94,-0.58,-1.09,-0.98,0.04,2.02,-0.15,-0.84,-0.24,0.88,4,#00FFFFFF
Itih2,-0.18,-0.85,0.79,2.31,0.75,-0.43,-0.82,-0.58,-0.36,-0.62,3,#00FF33FF
Prkcq,-1.08,0.99,-0.05,-0.9,-1.19,-0.87,1.81,0.58,0.24,0.48,6,#9900FFFF
Pfkfb3,-0.69,0.14,-0.82,-0.9,0.17,-0.83,1.55,-0.99,1.47,0.89,6,#9900FFFF
Itga8,1.5,0.67,-0.79,-0.9,-0.73,1.49,0.82,-0.51,-0.87,-0.68,4,#00FFFFFF
Mindy3,-1.17,-0.66,0.51,1.88,0.98,-1.38,-0.58,0.35,0.24,-0.16,1,#FF9900FF
Pter,-1.12,-0.95,0.82,1.61,0.75,-1.2,-1.01,0.5,0.53,0.08,1,#FF9900FF
Pdss1,-1.07,-0.65,1.22,1.81,0.91,-0.75,-0.73,0.33,-0.37,-0.68,1,#FF9900FF
Pnpla7,-0.43,-0.97,-0.01,-0.48,0.67,-1.22,-0.66,-0.11,1.36,1.85,5,#0033FFFF
Tubb4b,-0.54,-0.83,1.72,0.9,0.84,0.86,-0.18,-0.9,-1.27,-0.6,2,#99FF00FF
Tprn,-1.45,-0.65,0.91,1.68,0.72,-1.28,-0.68,0.3,0.33,0.12,1,#FF9900FF
Ptgds,-0.89,1.82,0.01,-0.6,-0.48,-0.9,1.81,-0.1,-0.36,-0.31,6,#9900FFFF
C8g,-1.01,-0.77,0.17,1.75,1.63,-0.98,-0.73,-0.23,0.29,-0.12,1,#FF9900FF
Agpat2,-0.71,-0.76,-0.68,-0.04,0.68,-0.7,-0.05,-0.96,2.06,1.16,5,#0033FFFF
Olfm1,-0.82,1.28,-0.19,-1.02,-1.47,-0.57,0.55,1.4,0.91,-0.07,7,#FF0099FF
Kyat1,-0.99,-0.62,0.67,1.64,1.72,-0.98,-0.56,-0.21,-0.39,-0.3,1,#FF9900FF
Crat,-1.26,-1,0.44,1.15,1.16,-1.05,-0.85,-0.23,0.44,1.21,1,#FF9900FF
Ptges,0.86,-1.12,-0.58,-0.41,-1.08,0.83,0.16,-0.74,2.02,0.07,5,#0033FFFF
Usp20,-1.12,-0.77,0.06,1.42,1.79,-1.08,-0.53,-0.24,-0.18,0.64,1,#FF9900FF
Slc25a25,-0.97,-0.54,0.43,2.28,0.82,-0.76,-0.62,-0.82,-0.09,0.27,1,#FF9900FF
Gm13412,-1.2,-0.73,1.47,1.11,-0.28,-1.21,-0.81,0.23,1.13,0.29,1,#FF9900FF
St6galnac6,0.98,1.32,-0.88,-1.19,-1.27,1.05,0.98,-0.64,-0.19,-0.16,4,#00FFFFFF
Stxbp1,1.11,1.09,-0.98,-1.41,-0.35,1.27,0.88,-0.76,-0.71,-0.15,4,#00FFFFFF
Hspa5,-0.92,-0.68,0.99,1.9,0.02,-0.61,-0.52,-1.23,0.97,0.07,1,#FF9900FF
Gsn,-0.75,-0.2,-1.01,-0.63,-0.13,-0.06,0.35,-0.95,1.31,2.06,5,#0033FFFF
Stom,1.7,0.22,-0.79,-1.05,-0.86,1.55,0.56,-0.75,-0.03,-0.55,4,#00FFFFFF
Ptgs1,0.26,-0.03,-1.28,-1.38,-0.08,0.07,1.05,-1.09,1.27,1.22,6,#9900FFFF
Nek6,1.27,-0.11,-0.82,-0.29,-0.05,2.23,-0.47,-0.83,-0.85,-0.09,4,#00FFFFFF
Kynu,-0.99,-0.34,0.15,-0.95,-0.48,-1.02,-0.32,0.82,1.75,1.37,5,#0033FFFF
Arhgap15,-0.82,-0.55,-0.41,1.33,2.17,-0.91,-0.67,-0.31,0.04,0.13,1,#FF9900FF
Gtdc1,0.75,0.24,-0.3,2.09,-0.4,0.12,0.13,-0.11,-0.76,-1.77,3,#00FF33FF
Fmnl2,1.85,0.91,-0.79,-0.77,-1.08,0.86,0.69,-0.23,-0.57,-0.89,4,#00FFFFFF
Cytip,-1.51,-0.33,0.21,0.32,0.16,-1.59,-0.5,0.78,1.28,1.19,7,#FF0099FF
Upp2,-0.81,-0.78,1.62,1.82,0.3,-0.81,-0.79,0.18,-0.09,-0.63,3,#00FF33FF
Tanc1,1.83,0.59,-0.79,-1.36,-0.86,1.25,0.27,-0.38,-0.56,0.03,4,#00FFFFFF
Itgb6,-1.54,-0.12,0.08,0.4,0.72,-1.68,-0.25,1.67,0.28,0.44,7,#FF0099FF
Galnt3,-1.3,0.41,0.42,1.58,0.49,-1.69,0.64,0.48,-0.2,-0.83,7,#FF0099FF
Scn7a,1.84,1.22,-1.35,-1.08,-0.52,0.71,-0.11,-0.5,-0.3,0.07,4,#00FFFFFF
Stk39,-0.51,-0.82,0.76,-0.16,-0.85,-0.99,-0.55,1.68,1.61,-0.16,5,#0033FFFF
Spc25,-0.31,1.41,0.41,-0.86,-1.37,-0.36,1.62,0.65,-0.27,-0.93,6,#9900FFFF
Itga6,0.02,1.56,0.11,-0.98,-1.29,-0.32,1.05,1.29,-0.58,-0.86,6,#9900FFFF
Pdk1,2.08,0.08,-0.05,-1.07,-1.09,1.18,0.01,0.08,-0.31,-0.91,4,#00FFFFFF
Map3k20,1.74,0.69,-0.68,-1.25,-0.87,1.18,0.73,-0.53,-0.58,-0.44,4,#00FFFFFF
Gpr155,1.65,-0.96,-0.76,1.32,0.67,0.64,-0.64,-0.66,-1.14,-0.12,2,#99FF00FF
Hoxd10,0.62,1.25,-0.41,-0.79,-1.67,-0.15,1.53,-0.42,0.7,-0.68,6,#9900FFFF
Agps,-0.51,-0.2,0.51,2.32,0.63,-0.9,-0.52,0.26,-0.47,-1.13,3,#00FF33FF
Pjvk,-0.3,-0.29,-0.46,-1.13,-1.16,-0.34,-0.05,0.85,2.16,0.71,5,#0033FFFF
Fkbp7,1.44,1.13,-0.62,-0.95,-1.02,1.09,0.84,-0.49,-0.42,-1,4,#00FFFFFF
Zfp385b,0,0.31,-0.18,-1.6,-1.34,-0.74,0.71,0.56,1.65,0.64,6,#9900FFFF
Frzb,-0.02,-1,-0.11,1.57,1.39,1.11,-0.97,-0.62,-0.88,-0.48,2,#99FF00FF
Tfpi,0.69,0.91,-0.26,-1.2,-1.21,0.28,1.92,0.2,-0.52,-0.82,6,#9900FFFF
Serping1,-0.6,2.3,-0.78,-0.86,-0.41,-0.78,0.73,-0.5,0.54,0.37,6,#9900FFFF
Slc43a1,1.68,-0.22,-0.47,-0.59,-0.68,2.05,-0.4,-0.73,-0.2,-0.44,4,#00FFFFFF
Aplnr,1.01,1.44,-0.42,-0.88,-0.9,0.69,1.36,-0.61,-0.83,-0.87,4,#00FFFFFF
Rapsn,-1.49,0.8,-0.12,-0.77,-0.29,-1.4,1.57,0.56,0.41,0.74,6,#9900FFFF
Large2,0.13,-0.06,-0.21,-1.82,-0.28,2.04,0.46,0.15,-0.94,0.52,4,#00FFFFFF
Cry2,0.8,-0.7,-0.34,-0.81,0.13,2.22,-0.59,-1.17,-0.18,0.64,4,#00FFFFFF
Tspan18,1.22,0.26,-0.69,-0.77,-0.69,2.17,0.32,-0.64,-0.64,-0.53,4,#00FFFFFF
Gm10804,-1.3,-0.71,0.82,1.65,0.85,-1.35,-0.7,0.38,0.46,-0.11,1,#FF9900FF
Gm10800,-0.66,2.16,-0.63,-0.65,-0.64,-0.34,1.24,0.62,-0.46,-0.64,6,#9900FFFF
Prr5l,0.99,1.14,-0.43,-1.74,-0.88,0.72,1.25,-0.66,-0.48,0.08,4,#00FFFFFF
Ehf,-0.32,-0.3,-0.33,-0.41,-0.58,-1.31,1.24,0.01,2.21,-0.21,5,#0033FFFF
Cd59b,-1.31,-0.78,0.15,0.32,0.15,-1.36,-0.45,0.62,1.85,0.82,5,#0033FFFF
Cd59a,-1.5,-0.21,0.51,0.21,-0.31,-1.65,0.03,1.04,1.55,0.32,7,#FF0099FF
Them7,-0.85,-0.94,0.49,2.02,1.16,-0.88,-0.96,0,0.15,-0.18,1,#FF9900FF
Bdnf,-0.93,-0.8,0.14,2.29,0.74,-0.95,-0.84,0.01,0.18,0.16,1,#FF9900FF
Bbox1,-1.13,-0.7,0.86,-0.62,-0.16,-1.17,-0.38,1.73,1.2,0.37,7,#FF0099FF
Slc5a12,-1.39,-0.49,0.05,-0.25,1.59,-1.46,-0.2,0.3,0.6,1.26,5,#0033FFFF
Slc12a6,-0.54,-0.65,0.59,1.86,1.5,-1.03,-0.84,-0.48,0.06,-0.47,1,#FF9900FF
Scg5,-0.79,0.11,-0.66,-0.79,-0.7,-1.16,0.9,0.05,1.62,1.42,6,#9900FFFF
3110099E03Rik,-1.19,0.83,0.22,0.13,-0.91,-1.42,0.99,1.45,0.62,-0.71,7,#FF0099FF
Nusap1,1.97,0.4,-0.37,-0.75,-0.79,1.26,0.53,-0.55,-0.85,-0.86,4,#00FFFFFF
Tmem62,-1.28,-0.76,0.53,1.75,0.28,-1.2,-0.97,0.52,0.36,0.77,1,#FF9900FF
Lcmt2,-1.64,-0.49,-0.1,0.92,1.53,-0.04,-0.69,-0.21,-0.66,1.39,2,#99FF00FF
Adal,-0.89,-0.16,-0.21,2.36,0.99,-1.15,-0.43,-0.25,-0.12,-0.14,1,#FF9900FF
Golm2,-0.86,0.65,0.92,1.62,0.07,-1.24,0.38,0.4,-0.42,-1.53,7,#FF0099FF
Myef2,2.21,0.54,-0.51,-0.26,-0.89,0.91,0.17,-0.35,-0.73,-1.09,4,#00FFFFFF
Slc27a2,-1.08,-0.81,-0.08,1.08,1.38,-0.99,-0.88,-0.19,0.04,1.52,2,#99FF00FF
Hdc,1.23,-0.6,-0.8,-0.82,-0.22,1.64,-0.45,-0.75,-0.61,1.39,4,#00FFFFFF
Gabpb1,0.41,0.8,-1.59,-1.5,-1.2,0.77,0.75,0.4,0.65,0.51,6,#9900FFFF
Usp8,-0.65,-0.84,0.23,2.18,1.18,-1.01,-0.68,-0.38,0.13,-0.16,1,#FF9900FF
Bcl2l11,1.21,-0.1,-0.22,-1.28,-0.07,2.15,-0.53,-0.58,-0.75,0.18,4,#00FFFFFF
Slc20a1,2.25,-0.61,-0.4,0.04,-0.24,1.36,-0.69,-0.61,-0.7,-0.4,4,#00FFFFFF
Ckap2l,1.88,0.32,-0.29,-0.83,-0.83,1.36,0.61,-0.56,-0.81,-0.84,4,#00FFFFFF
Mrps26,-1.46,-0.51,0.35,0.41,1.06,0.2,-0.91,-0.19,-0.84,1.89,2,#99FF00FF
Slc4a11,-1.18,1.37,-0.36,-0.76,-0.38,-1.24,1.74,0.02,0.31,0.49,6,#9900FFFF
A730017L22Rik,-1.04,-0.02,0.1,-0.41,0.38,-2.07,0.19,0.83,1.51,0.52,7,#FF0099FF
1700037H04Rik,-0.33,-0.92,1.36,0.89,-0.07,1.55,0.01,-1.48,-0.1,-0.9,2,#99FF00FF
Cenpb,-1.44,-0.52,1.64,1.41,0.64,-0.63,-0.93,0.2,-0.49,0.12,1,#FF9900FF
Cdc25b,1.68,0.13,-0.52,-0.88,-0.78,1.81,0.35,-0.59,-0.59,-0.63,4,#00FFFFFF
Plcb4,1.66,0.78,-0.43,-1.37,-1.47,0.83,0.57,-0.14,0.17,-0.6,6,#9900FFFF
Sptlc3,-1.32,-0.14,0.82,-0.33,-0.73,-1.43,0.65,1.33,1.29,-0.14,7,#FF0099FF
Macrod2,-0.91,-0.67,0.87,1.95,1.19,-0.97,-0.73,-0.08,-0.16,-0.49,1,#FF9900FF
Zfp937,0.59,-0.33,-0.95,1.84,1.51,-0.02,-0.25,-0.86,-0.79,-0.75,1,#FF9900FF
Zfp442,0.98,-0.42,-1.04,0.94,1.93,0.31,-0.42,-1.07,-0.74,-0.47,2,#99FF00FF
Apmap,-1.47,-0.33,0.73,-0.27,-0.35,-1.29,-0.41,1.56,1.07,0.77,7,#FF0099FF
Pygb,1.4,0.28,-1.24,-1.21,-0.61,1.36,0.87,-0.96,-0.08,0.2,4,#00FFFFFF
Slc52a3,-0.62,0.39,1.56,1.29,-0.34,-0.07,0.83,-0.44,-1.33,-1.27,3,#00FF33FF
Defb29,-1.23,-0.9,1.07,1.31,1.13,-1.25,-0.86,0.22,0.43,0.08,1,#FF9900FF
Defb19,1.8,-0.16,-0.39,-0.54,-0.65,1.86,0.11,-0.6,-0.71,-0.72,4,#00FFFFFF
Asxl1,1.25,0.56,-0.39,-1.52,-0.88,1.8,0.27,-0.06,-0.67,-0.37,4,#00FFFFFF
E2f1,-0.23,1.72,0.7,0.63,-1.14,0.11,1.01,-0.56,-1.09,-1.13,6,#9900FFFF
Pxmp4,-1.36,-0.67,1.09,1.58,0.61,-1.44,-0.58,0.28,0.32,0.16,1,#FF9900FF
Ahcy,-1.17,-0.96,0.79,1.57,1.09,-1.16,-0.94,0.11,0.35,0.33,1,#FF9900FF
Acss2,-1.18,-0.65,0.23,0.97,2.05,-1.06,-0.7,-0.1,-0.15,0.6,1,#FF9900FF
Gss,-1.2,-0.66,1.47,1.68,0.3,-1.22,-0.64,0.31,0.17,-0.21,1,#FF9900FF
Nfs1,-1.3,-0.95,0.26,1.04,1.48,-0.83,-0.85,-0.12,-0.03,1.28,1,#FF9900FF
Myl9,0.25,1.35,-0.48,-1.1,-0.99,0.83,1.75,-0.39,-0.55,-0.67,6,#9900FFFF
Tldc2,-1.66,-0.09,0.4,0.45,-0.42,-1.5,0.59,0.68,1.62,-0.08,7,#FF0099FF
Adig,-0.6,-0.51,-0.34,-0.35,-0.07,-0.59,0.17,-0.58,2.72,0.15,5,#0033FFFF
Wfdc15b,-1.42,-0.78,0.55,0.51,0.17,-1.43,-0.63,0.87,1.43,0.74,7,#FF0099FF
Wfdc2,-1.23,0.72,-0.14,-1.18,-1.06,-0.55,1.08,0.12,0.67,1.58,6,#9900FFFF
Wfdc16,-1.11,-0.67,0.15,-0.11,-0.11,-1.11,-0.53,0.45,2.2,0.85,5,#0033FFFF
Zswim3,-1.36,0.97,0.2,-0.83,0.33,-1.5,1.35,-0.38,0.15,1.07,6,#9900FFFF
Pltp,0.03,1.89,-0.86,-1.1,-0.31,0.24,1.37,-0.94,-0.67,0.34,6,#9900FFFF
Ncoa5,-0.94,-0.9,0.73,2.01,-0.42,-0.73,-1.11,0.13,0.49,0.74,1,#FF9900FF
Zfas1,1.85,-0.1,-0.54,-0.75,-0.65,1.86,-0.15,-0.58,-0.39,-0.56,4,#00FFFFFF
Kcnb1,-1.27,1.14,0.12,-1.58,0.53,-0.46,1.04,-0.71,-0.04,1.23,6,#9900FFFF
